Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,ai-description
BGSBR-1100,bgsbr-1100,Elegant - Silver Bracelet. set with 1.63ct diamonds (0 pcs) and 4.95ct colour stones (0 pcs). Total weight: 10.53g.,BG Jewels,Apparel & Accessories > Jewelry,BRACELET,"BRACELET, SS",TRUE,Active,BGSBR-1100,,Title,Default Title,,,,,,,,880.0,,,TRUE,,,,,,shopify,1,DENY,10.53,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSBR-1100.jpg,1,BGSBR-1100,,FALSE,BGSBR-1100 | BG Jewels,Elegant - Silver Bracelet. set with 1.63ct diamonds (0 pcs) and 4.95ct colour stones (0 pcs). Total weight: 10.53g.,-,Apparel & Accessories > Jewelry,,,BGSBR-1100,,,New,FALSE,,,,,,"This piece is a bracelet featuring an array of colorful gemstones, including shades of blue, purple, yellow, and clear stones. The setting is crafted in a silver-tone metal, giving it a sleek and modern appearance. The stones are cut in an oval shape and are connected with decorative links, creating a balanced and elegant design. The combination of the vivid gemstones with the silver metal offers a vibrant yet sophisticated look."
BGSBR-1101,bgsbr-1101,Elegant - Silver Bracelet. set with 1.91ct diamonds (0 pcs) and 9.80ct colour stones (0 pcs). Total weight: 12.60g.,BG Jewels,Apparel & Accessories > Jewelry,BRACELET,"BRACELET, SS",TRUE,Active,BGSBR-1101,,Title,Default Title,,,,,,,,773.0,,,TRUE,,,,,,shopify,1,DENY,12.6,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSBR-1101.jpg,1,BGSBR-1101,,FALSE,BGSBR-1101 | BG Jewels,Elegant - Silver Bracelet. set with 1.91ct diamonds (0 pcs) and 9.80ct colour stones (0 pcs). Total weight: 12.60g.,-,Apparel & Accessories > Jewelry,,,BGSBR-1101,,,New,FALSE,,,,,,"The image showcases a bracelet featuring a silver-toned metal setting. It is adorned with deep blue stones, likely sapphires, arranged in a linear pattern alternating with clear stones that resemble diamonds. The design style is contemporary, characterized by its sleek and symmetrical appearance, making it a versatile accessory for both casual and formal occasions."
BGSER-1286,bgser-1286,Elegant - Silver Earrings. set with 4.03ct diamonds (0 pcs) and 8.25ct colour stones (0 pcs). Total weight: 23.15g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"EARRINGS, SS",TRUE,Active,BGSER-1286,,Title,Default Title,,,,,,,,2040.0,,,TRUE,,,,,,shopify,1,DENY,23.15,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSER-1286.jpg,1,BGSER-1286,,FALSE,BGSER-1286 | BG Jewels,Elegant - Silver Earrings. set with 4.03ct diamonds (0 pcs) and 8.25ct colour stones (0 pcs). Total weight: 23.15g.,-,Apparel & Accessories > Jewelry,,,BGSER-1286,,,New,FALSE,,,,,,"The image shows a pair of modern-style earrings crafted from silver-colored metal. They feature a linear design with an array of pink gemstones, likely sapphires, arranged in a symmetrical pattern. The earrings have an elongated, slightly curved shape, adding elegance and sophistication to the overall design. Small, clear stones are embedded around the pink gemstones, providing additional sparkle and contrast."
BGSNL-1333,bgsnl-1333,Elegant - Silver Necklace. set with 6.39ct diamonds (0 pcs) and 74.40ct colour stones (0 pcs). Total weight: 58.53g.,BG Jewels,Apparel & Accessories > Jewelry,NECKLACE,"NECKLACE, SS",TRUE,Active,BGSNL-1333,,Title,Default Title,,,,,,,,3130.0,,,TRUE,,,,,,shopify,1,DENY,58.53,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSNL-1333.jpg,1,BGSNL-1333,,FALSE,BGSNL-1333 | BG Jewels,Elegant - Silver Necklace. set with 6.39ct diamonds (0 pcs) and 74.40ct colour stones (0 pcs). Total weight: 58.53g.,-,Apparel & Accessories > Jewelry,,,BGSNL-1333,,,New,FALSE,,,,,,"This is a bracelet featuring a silver-colored metal setting. It showcases oval pink stones, possibly rubies or pink sapphires, interspersed with smaller green stones, likely emeralds. The design style appears to be modern, characterized by a symmetrical, elongated pattern. The clasp and overall construction suggest it's a statement piece meant to draw attention."
BGSRI-1113,bgsri-1113,Elegant - Silver Ring. set with 0.28ct diamonds (0 pcs) and 9.70ct colour stones (0 pcs). Total weight: 6.83g.,BG Jewels,Apparel & Accessories > Jewelry,RING,"RING, SS",TRUE,Active,BGSRI-1113,,Title,Default Title,,,,,,,,360.0,,,TRUE,,,,,,shopify,1,DENY,6.83,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGSRI-1113.jpg,1,BGSRI-1113,,FALSE,BGSRI-1113 | BG Jewels,Elegant - Silver Ring. set with 0.28ct diamonds (0 pcs) and 9.70ct colour stones (0 pcs). Total weight: 6.83g.,-,Apparel & Accessories > Jewelry,,,BGSRI-1113,,,New,FALSE,,,,,,"This is a statement ring featuring a central oversized oval pink stone, possibly a pink opal or rose quartz. It is set in a silver-colored metal adorned with a border of small round diamonds, enhancing its elegance. The design is modern with a touch of vintage flair, combining minimalism with a luxurious sparkle. The overall effect is both bold and sophisticated, making it ideal for special occasions."
BGPER-1021,bgper-1021,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 0.77ct diamonds (2 pcs). Total weight: 3.18g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1021,,Title,Default Title,,,,,,,,860.0,,,TRUE,,,,,,shopify,1,DENY,3.18,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1021.jpg,1,BGPER-1021,,FALSE,BGPER-1021 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 0.77ct diamonds (2 pcs). Total weight: 3.18g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1021,,,New,FALSE,,,,,,"This image features a pair of earrings. They showcase a minimalist design with clear, oval-cut stones that resemble diamonds or cubic zirconia, set in a silver-tone metal. The style is modern and understated, focusing on the brilliance and clarity of the stones. These earrings are perfect for adding a touch of elegance to both casual and formal attire."
BGPER-1022,bgper-1022,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.44ct diamonds (108 pcs). Total weight: 7.71g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1022,,Title,Default Title,,,,,,,,1960.0,,,TRUE,,,,,,shopify,1,DENY,7.71,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1022.jpg,1,BGPER-1022,,FALSE,BGPER-1022 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.44ct diamonds (108 pcs). Total weight: 7.71g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1022,,,New,FALSE,,,,,,"The image features a pair of earrings crafted in rose gold. Each earring showcases a triangular diamond at the center, encircled by a delicate halo of smaller diamonds enhancing the design. The style leans towards modern elegance with its geometric shape and minimalist aesthetic. The earrings are designed to dangle, creating movement and sparkle."
BGPER-1023,bgper-1023,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.82ct diamonds (136 pcs). Total weight: 6.79g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1023,,Title,Default Title,,,,,,,,1710.0,,,TRUE,,,,,,shopify,1,DENY,6.79,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1023.jpg,1,BGPER-1023,,FALSE,BGPER-1023 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 1.82ct diamonds (136 pcs). Total weight: 6.79g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1023,,,New,FALSE,,,,,,"The image features a pair of earrings designed in a floral motif. They are crafted in gold and set with central stones that appear to be diamonds or similar clear gems. The style is elegant and understated, suitable for both traditional and modern aesthetics. The petals have a smooth and polished finish, adding to the refined look of the piece."
BGPER-1024,bgper-1024,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 2.25ct diamonds (308 pcs) and 2.42ct colour stones (2 pcs). Total weight: 12.21g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1024,,Title,Default Title,,,,,,,,2780.0,,,TRUE,,,,,,shopify,1,DENY,12.21,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1024.jpg,1,BGPER-1024,,FALSE,BGPER-1024 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 2.25ct diamonds (308 pcs) and 2.42ct colour stones (2 pcs). Total weight: 12.21g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1024,,,New,FALSE,,,,,,"These are elegant drop earrings featuring a modern design. They are crafted from rose gold metal and adorned with a combination of clear and pink stones, possibly indicating diamonds and pink sapphires or tourmalines. The earrings showcase a teardrop shape with intricate detailing and a double halo of smaller stones, adding to their luxurious appearance."
BGPER-1025,bgper-1025,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 2.76ct diamonds (66 pcs). Total weight: 8.31g.,BG Jewels,Apparel & Accessories > Jewelry,EARRINGS,"RG, Polki Jewellery, EARRINGS, 18K",TRUE,Active,BGPER-1025,,Title,Default Title,,,,,,,,2600.0,,,TRUE,,,,,,shopify,1,DENY,8.31,g,TRUE,manual,https://bgjewels.jewelscore.com/f/shortimage/BGPER-1025.jpg,1,BGPER-1025,,FALSE,BGPER-1025 | BG Jewels,Elegant Rose 18K Gold Earrings. from the Polki Jewellery collection. set with 2.76ct diamonds (66 pcs). Total weight: 8.31g.,RG,Apparel & Accessories > Jewelry,,,BGPER-1025,,,New,FALSE,,,,,,"These are elegant earrings featuring a rose gold setting. Each earring showcases a cluster design of four heart-shaped stones that resemble diamonds, creating a floral-like pattern. The contemporary style with its delicate arrangement makes them suitable for both formal and casual occasions. The craftsmanship highlights the brilliance of the stones against the warm tone of the rose gold."
